"Lung_A (RefSig 13)","Lung_B (RefSig 17)","Lung_C (RefSig 1)","Lung_D (RefSig 4+22)","Lung_E (RefSig 5)","Lung_F (RefSig 18)","Lung_G (RefSig 3)","Lung_H (RefSig 33)","Lung_I (RefSig 4)","Lung_J (RefSig 2)"
0.00463408473515582,0.00844827470433543,0.0215084554408822,0.0115388893194728,0.018997354452731,0.0145090585387723,0.0276832672020144,0.014524267649229,0.0178312016231199,0.0270025210562741
0.00214035720754899,0.00631341423897242,0.0193582425113312,0.0108465158703073,0.0154784186573444,0.00836996682568164,0.0214848381226237,0.0101658013767149,0.0114428830402844,0.0147888962595278
0.0041141812441318,0.0049722121614386,0.057175594346122,0.00335423550676608,0.00163122787593274,0.00100768176462815,0.00637369237556582,0.015924707353799,0.00358954870696296,0.0068590403352209
0.00275933453205292,0.00452188900609554,0.0198132711258397,0.0139893487739363,0.0168576106734405,0.010556089319738,0.0352071663542041,0.0156520480150951,0.0194498915259463,0.0192136585508835
0.00361795064316378,0.00729849782316571,0.0240226813813015,0.0034379061365037,0.018693957181832,0.0158464994132621,0.00868199742482043,0.00505513120819606,0.00562127569648479,0.0120770716253795
0.0021773279590698,0.00649789351158471,0.0246019821755078,0.0042700334525789,0.0118766822235775,0.0133968022431078,0.00615778724993152,0.00435814293270674,0.00473648962081146,0.0095625060276452
0.00340200558840566,0.00422037895461532,0.074112278257588,0.000671834612031356,0.00464903989359517,0.00782323288990917,0.000225207039794836,0.00762234718550732,0.00264923723761974,0.00675637846336291
0.00226686637212714,0.00441543342375826,0.0194658753583919,0.00274965874206798,0.0113134832653782,0.0142400282623225,0.00840092530694238,0.00623749507914914,0.00810513151745874,0.0107169107064799
0.1659160628216,0.0238907756434675,0.0157075130644122,0.00020992777783391,6.92069809751498e-05,0.00521995622091852,1.61754803257762e-05,0.00972125011345648,0.00385815931682405,0.266643930968627
0.0303130726096988,0.011511797851308,0.0355061798887225,0.00482085404521879,0.00748062055080782,0.0118948185114693,0.017318402258197,0.00840624850203582,0.0100504648795897,0.067214738780728
0.020624727060962,0.0044970324430753,0.0384856822720236,0.00115991992499755,6.99829321917207e-06,0.00028366352914974,0.00180297645325521,0.00399206500968247,1.75081108592602e-15,0.0277500674128965
0.0764447144638556,0.0124726310661104,0.0224050600338319,0.00694377245490118,0.00347778587660763,0.00695127052680175,0.0163409499495462,0.00502561900287016,0.00918663460765623,0.153200648876137
0.00323800382300295,0.00138667656682697,0.00815441742950586,0.013863884061967,0.0210989507517548,0.00872931939189183,0.00530050692792061,0.0113238633309671,0.00362928672899102,0.00637022435718467
0.000829742749400669,0.00314743286051795,0.0133861203923928,0.00408434647240552,0.00311182986350972,0.00798378132074312,0.00365065359401782,0.000295103925027023,0.00284955441529466,0.00333869982581046
0.00219438037508355,0.00090747122804436,0.00999530820312642,0.0158849496694846,0.00932895232024986,0.00737082898743028,0.0100894393827338,0.00822076831863362,0.00722973867410862,0.00617965605519624
0.00218848796359144,0.0086829350788053,0.0189427312686251,0.00613495514516381,0.00941154148021619,0.0149670125246703,0.00290702106275138,0.00287604593589442,0.00360209355922896,0.00598925848927312
0.00307165552538937,0.000452451583029139,0.00100109196588215,0.0206579354928358,0.0123944161296659,0.0024226148234723,0.0145299366227819,0.0138088391849387,0.00567244064780816,0.00315211183373665
0.00150067677634567,0.0113138371384315,0.0053368149076636,0.0165384229074093,0.00428278520722521,0.00852763354355902,0.0149155526769785,0.00663140496599773,0.00329446476512803,0.00216484343515163
0.00277225920567713,0.00463890656648451,0.000780213930686016,0.0459946472172088,0.013897406657803,1.86974963467296e-13,0.0187569069562219,0.0155845490375469,0.0102448767485936,0.0068260750995712
0.00402640769380355,0.0210060950564875,0.00383489158355455,0.0180483977392642,0.00865408521774826,0.011872865423311,0.0194672264220906,0.0107156339565992,0.00269073327672844,0.000575103727429089
0.0017378390006657,0.00103134430317853,0.000938664888648711,0.0132657151779109,0.0113948521837529,0.00191659609032688,0.00818242757966138,0.00971677911400829,0.0033845385269078,0.00244875142452208
0.00109708466832132,0.00331512162752139,0.00476376437327946,0.00467704648030791,0.00204546466891123,0.00355325097837289,0.00399787283625476,0.00146261339403337,0.00175632871112227,0.00188303026234679
0.00183080178168978,0.00176656478011631,0.00283144624102303,0.0177764372700358,0.0101201291798808,0.00186390815854426,0.0123238305129348,0.00900153218430814,0.00412419956378271,0.00430910548435562
0.00190616562293807,0.00449972471510855,0.00566277154808069,0.00784448548334213,0.0054764814922376,0.00741059216851042,0.0103519479156575,0.00497243437185999,0.00170004093766977,0.000776041502600736
0.00308079652619591,0.00282013371980601,0.00870461944098607,0.0144694336738025,0.0207761859838766,0.0101210108086494,0.00965950868309873,0.0120536876922446,0.000568674431566202,0.00358530679101381
0.00159868480444544,0.00545038668979278,0.00421097394487579,0.00615035446844086,0.00520656045829698,0.00844317926678049,0.00540588696680023,0.00491970340200606,0.00144396039025938,0.00204956507386878
