"Kidney_A (RefSig 13+3+16)","Kidney_B (RefSig 5+30)","Kidney_C (RefSig 1)","Kidney_D (RefSig MMR1)","Kidney_E (RefSig 22)","Kidney_F (RefSig N12)","Kidney_G (RefSig 4)","Kidney_H (RefSig 18+2)","Kidney_I (RefSig 17)"
0.00580596558564973,0.00589297791926908,0.00731956820420775,0.0436554947087404,0.00283722871061583,0.0120291627923852,0.000132180945678958,0.00568477283406547,0.0050878772093657
0.0089799824428678,0.00561944376059806,0.00341453189921975,0.0117587772723685,0.000714627422249711,0.00325549059515594,0.000984648489660602,0.00242432821795979,0.00821977133869182
0.005604000191306,0.00992962216838029,0.00325706159247153,0.0232253519718754,0.00158345352894892,0.00837437753384123,0.00162985232707013,0.00193744779910309,0.00619984873387198
0.0130615008840396,0.00662273464105925,0.0119553320824492,0.0251727409761282,0.00112230890766803,0.00611328757464118,0.00438464077071958,1.25660034762876e-12,0.0158514090918795
0.017202135061271,0.011200572198715,0.00289735095200768,0.0444080653128675,0.00979114076916336,0.0174111652697497,0.000582118091729663,0.00156719586093411,0.0106078897765695
0.0124744016291817,0.00710524391412111,0.00323137419666103,0.017145655515038,0.00107381034966124,0.0069049349747132,0.00188817467238179,0.0074984990592298,0.011372405014339
0.00749076562242837,0.00887327118969096,0.00121284693513489,0.0173925295374184,0.0024408024090538,0.00862670206119967,0.00104015669792836,0.00061287403017633,0.0093275663345527
0.0109626452848636,0.00483776426675052,0.00884025433718425,0.0370614153014375,0.00187861805330366,0.0121060784607628,0.0047515679360226,0.0071278657976438,0.0159735393109613
0.00661864561123851,0.00335484279658284,0.00160012771802636,0.00318825898269852,0.00568861053104933,0.0147813315766375,0.00521909060030428,0.00337465754367375,0.00512744736924945
0.000777885827887509,0.00106114981398368,1.13718030305817e-21,0.0020600616338749,0.000296236140924778,0.0187020762146729,0.00288340569855001,0.000882736037147293,0.0050341926471684
