"Liver_A (RefSig 16)","Liver_B (RefSig N1)","Liver_C (RefSig 24)","Liver_D (RefSig PLAT)","Liver_E (RefSig 1+MMR1)","Liver_F (RefSig 13+3)","Liver_G (RefSig 19)","Liver_H (RefSig MMR2)","Liver_I (RefSig N8)","Liver_J (RefSig 4)","Liver_K (RefSig N11)","Liver_L (RefSig 22)","Liver_M (RefSig 1+18)","Liver_N (RefSig 17)"
0.000850810089641622,0.000306121325456587,0.000942101985081512,0.0012343473750013,0.000260665391772778,0.00184534122463814,0.000108127998760717,8.2693182570001e-18,0.00411252480714536,0.000770886799160578,0.000830812067467403,0.000243975214940591,0.0013347985144998,0.00355073711649979
0.00999095374022376,0.00285874172772005,0.00135366793270497,0.0129836710419183,0.00153270959547804,0.0204302500315971,0.00285584438141986,0.00133230212567506,0.0149486608653591,0.00620097070630568,0.00220044717794313,0.000967027320428564,0.00475507807995917,0.0072141063316014
0.00138510758609315,0.001758258933138,0.00705903072555502,0.00265223791666851,0.000632408460805387,0.00544837218941943,0.000926239329302857,0.0015035343103813,0.00505448585394906,0.00528315171839896,1.52856470035959e-15,0.0011594735779155,0.00446750260768516,0.00151697260603336
0.00460757561824254,0.000372258629108268,0.0101612061321847,0.0184567158802156,0.0018508263131264,0.00634123118616334,0.00136053932526377,0.000577349841939623,0.0017717510175804,0.00137991874581241,0.00184964913367373,0.00148077519605814,0.00190213090584931,0.00265066453347351
2.08589432219271e-06,0.000488485737543548,0.00567760702446896,0.000173818742383454,6.16905932753003e-05,0.000773012694735188,0.000584491439876885,0.000231585190617256,1.84578667227405e-08,0.000380936151358334,1.61107638125698e-16,0.000385658391890665,0.000222751275554187,0.00108775991349306
0.00477520212458403,0.00374124532434836,0.00384400992665306,0.00623766608491318,0.000929755592716604,0.0107585636549301,0.000981243592156944,0.000707738081045717,0.00431518307256114,0.00358701649045835,2.31737615718107e-12,0.00126663592608302,0.00425889657547329,0.00393102034314456
0.00156110456449761,0.000765805125249549,0.00876098605256725,0.000879527524538183,1.51373115838117e-21,0.0406482176423916,0.000978484082650758,0.00239073301657762,1.26152972034323e-07,0.00650891163982884,0.00723874911498248,0.00298519203515455,0.00978224585991929,0.0050638726979226
0.00544800088415339,0.00242823219818784,0.00814589316783371,0.00408542784762502,0.000534858865928681,0.0293779841812388,0.00220393395349889,0.00163658497701893,0.00995243984887473,0.00365823420499836,0.0035536163912827,0.00144622241733963,0.00860545408992417,0.00397119016445091
0.00028272038332778,0.000396238917301474,0.00209469457380289,0.000405563436920385,1.51373115838117e-21,0.00296446994907771,6.96569229123279e-05,0.000172360515181296,0.00216357453294034,9.32474772633941e-14,0.000951918654549676,0.000325019916661138,0.00141270129190237,0.00235533721461275
0.0291509223679857,0.00482432883366532,0.00911986823131409,0.0113312363384317,0.00163535503003667,0.0779747669715753,0.00352408332246823,0.00302144196235936,0.00387412171769172,0.0119886004790665,0.00659731053494697,0.00442036890044442,0.0142812415160532,0.00749994276672246
0.00304283456210701,0.0106629699270552,0.00950190235064099,0.00486147332507861,0.0314937188488916,0.0130874613248032,0.017254900817085,0.0108693907905089,0.0165343297713494,0.015954696382451,0.0395925752247868,0.00418099580514628,0.0315052073004929,0.0109480373392762
0.0021160254780565,0.00204974044265978,0.00514533604714986,0.00888428013485669,0.0162391325867105,0.00987415109987105,0.00950982459930084,0.000967495570618168,0.0163862926077493,0.00584759209159872,0.0243636204679688,0.00420975355237783,0.0186831683984138,0.00786725548657091
0.00130443306069798,2.20029643931917e-07,0.00168420226026972,5.26208215962003e-07,0.0729973635830251,0.00812041084586642,0.00238548115254891,0.00332637213940981,0.0202896671818172,4.49614395548839e-06,2.52453751462055e-07,0.00318617964851845,0.0532263934411573,0.00302454246825772
0.00479146105667344,0.0147927006667018,0.00568669399084954,0.00297763927609199,0.0118766833530842,0.0103753652551927,0.0307082900225323,0.00187802593486492,0.0139707680552199,0.01467777938952,0.0164834059206928,0.00301970051542855,0.0205927541543594,0.0102106476602191
0.00193132632429693,0.0227242167062152,0.00981821020654318,0.0107047563452591,0.00651489341773043,0.0138533410449675,0.0915410551213937,0.0104014290833736,0.0255256306680343,0.0112968868132669,0.0375696299856817,0.0032925009885222,0.0190123008496095,0.00965412766613302
0.000267628822984735,0.000251449354747527,0.00880800773605663,0.0864613676544862,0.0138277677894486,0.00448730155799384,0.0570274896516258,2.85727324630907e-05,0.019605307796828,1.09613736152268e-06,0.0226240589848863,0.00909882887608162,0.021138688416403,0.00385396634470943
5.54928983662385e-10,0.00271677940303446,0.00309052135678542,0.00200075683203718,0.0482185185388009,0.00741338716018582,0.012937588509122,0.00232567765197374,0.0126158685457426,0.00160610068717348,0.000461574903922099,0.00360723280496429,0.0347171465693941,0.000867365820780806
0.0180901644855681,0.0218785628457584,0.00937941901053696,0.0404436875589566,0.0105348533069496,0.00781943859110812,0.220651162370737,0.00938882508912006,0.00168648908465618,0.0167183844390334,0.00427682236874619,0.00421402877112468,0.0169084611432387,0.00885107425088456
0.00336394515603909,0.00760255701296178,0.0149972908458869,0.010801935857969,0.040152280107498,0.00952597246049021,0.0474510735988865,0.00856789372147875,0.00552736224137571,0.00878618233495411,0.0402046609024968,0.00554303172122596,0.0170224221901252,0.00743784684794526
0.0032995389804458,0.000735535973590954,0.0249394328875862,0.0178543063472337,0.0527208862832494,0.00324641397922829,0.0333124796429043,9.29117761184019e-13,0.00719059595916749,0.00336709711280904,0.0274346026362443,0.00822707207767977,0.0179398546791605,0.00652514930571416
